Episode logs:
Episode 100: 0.0
Episode 200: 0.10000000149011612
Episode 300: 0.0
Episode 400: 0.10000000149011612
Episode 500: 0.10000000149011612
Episode 600: 0.09000000171363354
Episode 700: 0.7000000104308128
Episode 800: 0.10000000149011612
Episode 900: 0.20000000298023224
Episode 1000: 1.0000000149011612
Episode 1100: 0.20000000298023224
Episode 1200: 0.20000000298023224
Episode 1300: 0.10000000149011612
Episode 1400: 0.10000000149011612
Episode 1500: 0.0
Episode 1600: 0.800000011920929
Episode 1700: 0.10000000149011612
