Episode logs:
Episode 100: 0.0
Episode 200: 0.10000000149011612
Episode 300: 0.0
Episode 400: 0.10000000149011612
Episode 500: 0.10000000149011612
Episode 600: 0.09000000171363354
Episode 700: 0.7000000104308128
Episode 800: 0.10000000149011612
Episode 900: 0.20000000298023224
Episode 1000: 1.0000000149011612
Episode 1100: 0.20000000298023224
Episode 1200: 0.20000000298023224
Episode 1300: 0.10000000149011612
Episode 1400: 0.10000000149011612
Episode 1500: 0.0
Episode 1600: 0.800000011920929
Episode 1700: 0.10000000149011612
Episode 1800: 0.9000000134110451
Episode 1900: 0.30000000447034836
Episode 2000: 0.9000000134110451
Episode 2100: 0.20000000298023224
Episode 2200: 0.10000000149011612
Episode 2300: 0.09000000171363354
Episode 2400: 0.10000000149011612
Episode 2500: 1.5000000223517418
Episode 2600: 1.2000000178813934
Episode 2700: 0.10000000149011612
Episode 2800: 0.4000000059604645
Episode 2900: 0.09000000171363354
Episode 3000: 0.0
Episode 3100: 0.19000000320374966
Episode 3200: 0.09000000171363354
Episode 3300: 0.30000000447034836
Episode 3400: 0.10000000149011612
Episode 3500: 0.0
Episode 3600: 0.09000000171363354
Episode 3700: 0.30000000447034836
Episode 3800: 0.0
Episode 3900: 0.09000000171363354
Episode 4000: 0.09000000171363354
Episode 4100: 0.19000000320374966
Episode 4200: 0.10000000149011612
Episode 4300: 0.10000000149011612
Episode 4400: 0.10000000149011612
Episode 4500: 0.20000000298023224
Episode 4600: 0.20000000298023224
Episode 4700: 0.09000000171363354
Episode 4800: 0.20000000298023224
Episode 4900: 0.10000000149011612
Episode 5000: 0.10000000149011612
Episode 5100: 1.0000000149011612
Episode 5200: 0.09000000171363354
Episode 5300: 0.10000000149011612
Episode 5400: 0.0
Episode 5500: 0.0
Episode 5600: 0.10000000149011612
Episode 5700: 0.10000000149011612
Episode 5800: 0.10000000149011612
Episode 5900: 0.30000000447034836
Episode 6000: 0.20000000298023224
Episode 6100: 0.09000000171363354
Episode 6200: 0.20000000298023224
Episode 6300: 0.09000000171363354
Episode 6400: 0.09000000171363354
Episode 6500: 0.10000000149011612
Episode 6600: 0.10000000149011612
